label,text
Achizitionare abonament lunar SmartBill,"Vreau sa platesc SmartBill lunar, cum fac?"
Achizitionare abonament lunar SmartBill,Imi puteti seta cumva sa platesc lunar abonamentul?
Achizitionare abonament lunar SmartBill,Cum pot sa achit smartbill lunar?
Achizitionare abonament lunar SmartBill,Vreau sa merg pe varianta de abonament lunar
Achizitionare abonament lunar SmartBill,Doresc abonament pe o luna
Achizitionare abonament lunar SmartBill,Vreau smartbill cu plata lunara
Activare autentificare in 2 pasi,De unde activez autentificarea in 2 pasi?
Activare autentificare in 2 pasi,Cum pot securiza contul?
Activare autentificare in 2 pasi,Vreau sa activez autentificarea biometrica.
Activare autentificare in 2 pasi,Aveti autentificare in doi pasi?
Activare autentificare in 2 pasi,cum activez o autentificare in doi pasi?
Activare autentificare in 2 pasi,autentificare biometrica a contului
Activare autentificare in 2 pasi,activare google authenticator
Activare autentificare in 2 pasi,Cum activez logarea in 2 pasi?
Activare autentificare in 2 pasi,Cum activez logarea in 2 pasi
Activare autentificare in 2 pasi,activare google auth
Activare mod de lucru cu coduri de bare,Cum activez codurile de bare sau unde le pot seta?
Activare mod de lucru cu coduri de bare,Cum pot folosi scanner-ul pentru coduri de bare?
Activare mod de lucru cu coduri de bare,Cum adaug coduri de bare?
Activare mod de lucru cu coduri de bare,De unde incarc codurile in program?
Activare mod de lucru cu coduri de bare,SmartBill genereaza coduri de bare?
Activare statistici lunare / saptamanale pe firma,Vreau sa primesc raportul saptamanal.
Activare statistici lunare / saptamanale pe firma,Vreau sa primesc raportul lunar.
Activare statistici lunare / saptamanale pe firma,De unde activez trimiterea sumarelor?
Activare statistici lunare / saptamanale pe firma,Cum pot sa trimit sumarele pe email?
Activare statistici lunare / saptamanale pe firma,Cum activez sumarele?
Activare statistici lunare / saptamanale pe firma,Cum fac sa primesc sumarul lunar?
Activare statistici lunare / saptamanale pe firma,Cum fac sa primesc sumarul saptamanal?
Activarea abonamentelor Smartbill,Am achitat in cursul zilei de ieri factura dar nu pot sa intru in program.
Activarea abonamentelor Smartbill,Am platit abonamentul dar imi apare mesajul ca a expirat.
Activarea abonamentelor Smartbill,Va rog sa activati abonamentul conform platii.
Activarea abonamentelor Smartbill,"Mi-am prelungit acum abonamentul, puteti verifica daca s-a facut activarea contului?"
Activarea abonamentelor Smartbill,"Am facut plata, cand pot sa am acces la cont?"
Activarea abonamentelor Smartbill,am solicitat acces la modulul de gestiune
Activarea abonamentelor Smartbill,am solicitat activarea modulul de gestiune
