label,text
Achizitionare abonament lunar SmartBill,12 luni gratuite?
Achizitionare abonament lunar SmartBill,se poate sa platesc o luna prin transfer bancar ?
Achizitionare abonament lunar SmartBill,pot sa platesc prin transfer bancar abonamentul pe o luna ?
Achizitionare abonament lunar SmartBill,pot achizitiona un abonament pe 6 luni ?
Activarea abonamentelor Smartbill,ACTIVARE ABONAMENT
Activarea abonamentelor Smartbill,acum am vazut ca azi imi expira abonamentul si vreau sa eliberez o factura si nu pot
Activarea abonamentelor Smartbill,Cum putem confirma o plata pentru a se activa abomanmentul ?
Adaugare buton pentru plata cu card pe facturi,DORESC ACTIVAREA BUTONULUI PLATESTE CU CARD
Adaugare buton pentru plata cu card pe facturi,"de asemenea, imi puteti spune cum adaug butonul de netopia pe factura?"
Adaugare CIF intracomunitar,cum pot schimba cif-ul intern cu cel intracomunitar deoarece le-am inversat?
Adaugare cont nou pe factura,cum adaug un cont nou pe factura
Adaugare cont nou pe factura,Nu reusesc sa salvez un cont nou
Adaugare produs / serviciu nou in nomenclator,denumirea produselor importata dim magazin
Adaugare produs compus,Casuta separata pentru cod produs ?
Adaugare utilizator nou,utilizatori suplimentari
Adaugare utilizator nou,utilizatori
Alegerea contului IBAN folosit,nu-mi afiseaza contul de euro pe facturi
Ajustarea de stoc (reglarea stocului),As dori sa stiu daca salvez ciorna din 21 iulie ca si inventar astazi stocul se regleaza automat?
Alegerea contului IBAN folosit,in momentul in care emit o factura vreau sa imi apara amandoua conturile bancare indiferent de moneda in care facturez
Alegerea contului IBAN folosit,Cum adaug un cont bancar
"Am adaugat o noua firma pe un cont, se achita abonament ?","Am de emis o singura factura ca sa pot incasa pe contul firmei si dupa sa va fac plata catre reactualizare cont. As vrea sa fac plata direct de pe contul de firma nu din cont personal de aceea as avea nevoie sa imi deschideti contul. Am primit factura proforma,"
Anulare factura,sau o  factura stearsa anulata ?
Anulare factura,"am facut o factura , am trimis-o pe mail , dar ulterior am sters factura"
Anulare factura,sunt client ro 3421942  si va rugam sa anulati fact proforma nr 179208.
Anulare NIR,"am facut doua receptii pe aceiasi factura, cum as putea sa fac sa pot anula sau sterge receptia ?"
Aplicare discount pe produs,"Cum pot adauga discount pe un singur produs, cand am cote diferite de TVA?"
Ascunde suma de pe aviz,"Buna ziua, exista varianta ca pe avizul de insotire al marfii sa nu mai apara suma?"
Campanie BT - Smartbil,Am primit e-mail de la BT ca pot beneficia de un an de gratuitate la programul facturare + gestiune. Imi puteti spune cum pot beneficia de el? Sau trebuie sa -i contactez pe cei de la BT?
Campanie BT - Smartbil,Banca Transilvania un an de gratuitate pentru programul de facturare si gestiune
Campanie BT - Smartbil,Cei de la BT mi-au promis 1 an de smart bill
Campanie VISA,"Am aplicat pentru promotia Visa (6 luni Smart Bill gratuit). Acum as fi vrut sa comand pachetul pentru 2 ani, insa apare tariful pt 24 de luni, adica fara cele 6 luni gratuite,"
Campanie VISA,promotie visa
Cautare agent,vreau urgent sa vb cu cineva
Cautare agent,CONSULTANTA
Cautare agent,as dori sa intru in contact cu un operator
Cautare agent,cum pot lua legatura cu un operator
Cautare agent,cum pot lua legatura cu un operator?
Cautare agent,vreau un operator
Cautare agent,ma poate ajuta cineva
Cautare agent,pot vorbi cu un operator
Cautare agent,vreau sa discut cu un operator
Cautare agent,raspunde cineva pe chat?
Cautare agent,operator
Cautare agent,pot vorbi cu un operator?
Cautare agent,cand o sa pot discuta cu un om?
Cautare agent,am nevoie de un om
Cautare agent,Pot vorbi cu o persoana?
Cautare agent,Asistenta chat
Cautare agent,pot sa vb cu uun operator?
Cautare agent,este cineva?
Cautare agent,ma puteti suna?
Cautare agent,reprezentant
Cautare agent,suport tehnic
Cautare agent,chat cu manager
Cientul nu primeste factura recurenta pe email,facturile nu mai pot fi trimise pe e-mail
Cod SWIFT,In factura de ceva timp nu mai apare afisat codul swift al bancii
Comanda abonament,Se poate chde 3 abonamentele
Comanda abonament,Beneficiu BT primul an gratuit programul de facturare si gestiune.
COST PRODUS IN GESTIUNE,COST PRODUS IN GESTIUNE
COST PRODUS IN GESTIUNE,AM NEVOIE DE COST PRODUS DIN GESTIUNE
COST PRODUS IN GESTIUNE,COST PRODUS NEVANDUT
Costuri aferente achizitiei pachetului SmartBill Gestiune plus SmartBill POS,ce costuri vor fi dupa perioada de 6 luni de la activarea platii prin card online si ce comisioane bancare dupa cele 3 luni.
Costurile aferente abonamentului SmartBill Gestiune,cat ma costa serviciul ales?
Costurile aferente abonamentului SmartBill Gestiune,Vreau Sa activez gestiunea stocurilor
Costurile pachetelor SmartBill Facturare,Cum se factureaza?
Crearea voucher-ului online,Cum pot beneficia de promotia Visa?
Date contact support,un numar de contact?
Date contact support,vreau un numar de telefon de contact !
Date contact support,buna as dori un numar de telefon unde as putea suna
Date contact support,doresc un numar de contact?
Date contact support,imi dati un numar de telefon pentru a va contacta
Date contact support,rog sa ma sune un reprezentant de vanzari
Date contact support,De ce nu merge sa apelam la suportul tehnic
Date contact support,Va rog sa ma sunati daca se poate
Date contact support,DaÈ›i mi un Nr de telefon
Date contact support,as dori un numar de telefon
Emitere deviz,pot emite oferta de pret/?
Emitere factura,Nu putem factura
Emitere factura,adaugare factura
Emitere factura,Doresc asistenta privind emiterea facturilor. Nu pot include pe aceeasi factura servicii cu tva diferit.
Emitere factura cu produse cu stoc 0,"Buna ziua, am un produs care il am si fizic si in site go mag, cod produs 8681635594885 , insa nu pot genera factura pe motiv ca nu exista stoc in smartbill"
Emitere factura externa,factura in alta tara
Emitere factura externa,factura international
Emitere Receptie de la Furnizor (NIR),Note de receptii se pot emite prin acest program
Emitere Receptie de la Furnizor (NIR),"Buna ziua, care sunt pasii pentru a adauga o factura cu Nir?"
Eroare emitere factura,nu se poate genera factura
Eroare emitere factura,nu pot factura ce se intampla?
Eroare emitere factura Emag Marketplace,"nu mai pot factura comenzile din e-mag, nu se  m mai incarca in smartbiil"
Eroare emitere factura Emag Marketplace,este o problema cu actualizare comenzilor de facturat din Emag ?
Export Saga,"Vrem sa mutam contabilitatea din Saga pe Smartbill Conta, cum putem face asta?"
Export Stoc la zi,Cum pot exporta in excel raportul miscari stocuri?
Factura abonament platit,factura care mi ati trimi so pentru reinnoirea abonamentului unde o gasesc
Factura abonament platit,Unde e factura pentru prelungirea abonamentului pe SmartBill?
Identificare informatii despre abonamentul SmartBill activ in mod curent,Care este valabilitatea abonamentului?
Import extras cont (banci compatibile),Am o incasare pe extras care nu se salveaza
"Incasare factura, data document de plata gresit",in momentul in care am dat incasare unei facturi s-a gresit data documentului de plata
Informatii abonament SmartBill Silver,ACTIVARE TEMPORARA ABONAMENT SILVER
Integrare Emag Marketplace,cind se va face integrare emag.hu in smartbill ?
Integrare Emag Marketplace,"BUNA , ne puteti ajuta ca la facturarea comenzilor de pe platforma emag ului  sa apara numele celei caruia a intocmit factura."
Integrare Emag Marketplace,"buna ziua, integrarea cu easysales si emagHU a condus la inlocuirea descrierii unui produs cu ""product not found"""
Integrare Emag Marketplace,integrare emag.hu in smartbill
Integrare OLX,"Buna ziua, Va rog sa-mi spune-ti daca modulul smartbill se poate integra si cu Olx. Clientul doreste o singura platforma de facturare, care sa includa si Emag si Olx."
Integrarea cu magazinele online,nu aveti acces la API
Integrarea cu magazinele online,Cum obtin acces la API?
Integrarea cu magazinele online,MÄƒ puteÈ›i ajuta/Ã®ndruma cu implementarea smartbill pe platforma shopify?
Integrarea cu magazinele online,"Buna ziua, dorim sa configuram optiunea de sincronizare stocuri si conform documentatiei (https://ajutorgestiune.smartbill.ro/article/904-sincronizarea-stocurilor-cu-magazin-online-opencart) la modulul de opencart trebuie sa avem o bifa in cadrul modulului cu actualizare stocuri, dar noi in pagina de configurare a modulului nu avem decat: Nume utilizator / adresa email, Token API, Cod fiscal. Am instalat ultima versiune a modulului descarcata direct din smartbill cloud (Versiunea: 1.2.0)"
Intrebare,am o intrebare
Intrebare,am si eu o intrebare
"Mesaj ""Firma expirata"" in contul SmartBill",expirat
Modalitati de plata abonament SmartBill,Cum opresc plata recurenta pentru abonamentul meu?
Modalitati de plata abonament SmartBill,Doresc intreruperea abonamentului
Modalitati de plata abonament SmartBill,"Buna, vreau sa achit abonamentul doar o luna si nu inteleg de ce nu ma lasa sa platesc cu cardul"
Modificare data emitere pe factura,cum as putea modifica data incasarii?
Modificare date card,modifucare date card
Modificare date card,"Buna, unde imi modific datele de card?"
